Keyword,Category,Source,Intent,Relevance,Avg Monthly Searches,Low CPC,High CPC,Competition,Jackpot Score,Ad Score,SEO Score,Trend,Trend Info
etsy description,Direct / Head Terms,planner_related,Comm,8,90,0.00,0.00,LOW,79,79,61,rising,+129% over 12mo (Seasonal)
etsy listing photo size,Direct / Head Terms,planner_related,Comm,4,1000,0.15,1.21,LOW,78,78,69,declining_slight,-18% over 12mo
etsy listing size,Direct / Head Terms,planner_related,Comm,4,1000,0.15,1.21,LOW,78,78,69,declining_slight,-18% over 12mo
size of etsy listing photos,Direct / Head Terms,planner_related,Comm,4,1000,0.15,1.21,LOW,78,78,69,declining_slight,-18% over 12mo
rules for selling on etsy,Direct / Head Terms,planner_related,Comm,4,210,0.07,0.64,LOW,77,77,63,declining_slight,-26% over 12mo
etsy vendor list,Direct / Head Terms,autocomplete,Comm,1,20,0.00,0.00,LOW,76,76,58,rising,+90% over 12mo (Seasonal)
etsy listing description,Direct / Head Terms,autocomplete,Comm,8,20,0.00,0.00,LOW,76,76,58,rising,+167% over 12mo (Seasonal)
etsy listing dimensions,Direct / Head Terms,planner_related,Comm,4,50,0.00,0.00,LOW,74,74,56,declining_slight,-12% over 12mo
etsy listing photo dimensions,Direct / Head Terms,planner_related,Comm,4,40,0.00,0.00,LOW,74,74,56,rising_slight,+14% over 12mo
etsy bulk editing tool,Direct / Head Terms,planner_related,Comm,10,30,0.00,0.00,LOW,73,73,55,rising_slight,+11% over 12mo
alura etsy,Competitor Brands,ai,Nav,9,590,0.03,2.20,LOW,73,73,72,declining,-33% over 12mo
etsy listing example,Direct / Head Terms,autocomplete,Info,6,20,0.00,0.00,LOW,73,73,55,declining,-33% over 12mo
etsy description example,Direct / Head Terms,planner_related,Info,6,40,0.00,0.00,LOW,73,73,55,declining_slight,-23% over 12mo
etsy listing photo size in pixels,Direct / Head Terms,planner_related,Comm,4,40,0.00,0.00,LOW,73,73,55,declining_slight,-25% over 12mo
etsy listing photo size ratio,Direct / Head Terms,planner_related,Comm,4,40,0.00,0.00,LOW,73,73,55,declining_slight,-29% over 12mo
requirements for selling on etsy,Direct / Head Terms,planner_related,Comm,4,50,0.13,0.64,LOW,73,73,58,rising_slight,+10% over 12mo
requirements to sell on etsy,Direct / Head Terms,planner_related,Comm,4,50,0.13,0.64,LOW,73,73,58,rising_slight,+10% over 12mo
etsy shop software,Direct / Head Terms,autocomplete,Comm,9,10,0.00,0.00,LOW,73,73,55,rising,+33% over 12mo (Seasonal)
vela etsy,Competitor Brands,ai,Nav,9,320,1.41,2.65,LOW,72,72,71,stable,Stable
how to sell digital product on etsy,Direct / Head Terms,planner_related,Info,8,720,0.20,5.11,LOW,72,72,70,declining_slight,-17% over 12mo
how do you sell digital downloads on etsy,Direct / Head Terms,planner_related,Info,8,880,0.08,3.10,LOW,72,72,70,declining,-30% over 12mo
etsy listing picture size,Direct / Head Terms,planner_related,Comm,4,210,0.25,1.54,LOW,72,72,63,declining_slight,-12% over 12mo
etsy photo listing size,Direct / Head Terms,planner_related,Comm,4,30,0.00,0.00,LOW,72,72,54,stable,Stable
etsy product description examples,Direct / Head Terms,planner_related,Info,6,30,0.00,0.00,LOW,72,72,54,stable,Stable
size for etsy listing photos,Problem-Based,planner_related,Info,4,50,0.15,0.78,LOW,72,72,57,stable,Stable
etsy product listing size,Direct / Head Terms,autocomplete,Comm,4,10,0.00,0.00,LOW,71,71,53,stable,Stable
etsy listing requirements,Direct / Head Terms,autocomplete,Comm,4,10,0.00,0.00,LOW,71,71,53,stable,Stable
etsy listing policy,Direct / Head Terms,autocomplete,Comm,4,10,0.00,0.00,LOW,71,71,53,stable,Stable
